,msg1,msg2,msgid,nsavetime
197,NSR,info,71193,1515417039
198,NSR,info,71193,1515417039
199,NSR,info,71193,1515417039
200,NSR,info,71193,1515417039
201,NSR,info,71193,1515417039
202,NSR,info,71193,1515417039
203,NSR,info,71193,1515417039
204,NSR,info,71193,1515417039
205,NSR,info,71193,1515417039
206,NSR,info,71193,1515417039
207,NSR,info,71193,1515417039
208,NSR,info,71193,1515417039
209,NSR,info,71193,1515417039
210,NSR,info,71193,1515417039
211,NSR,info,71193,1515417039
212,NSR,info,71193,1515417039
213,NSR,info,71193,1515417039
214,NSR,info,71193,1515417039
215,NSR,info,71193,1515417039
216,NSR,info,71193,1515417039
217,NSR,info,71193,1515417039
218,NSR,info,71193,1515417039
219,NSR,info,71193,1515417039
220,NSR,info,71193,1515417039
221,NSR,info,71193,1515417039
222,NSR,info,71193,1515417039
223,NSR,info,71193,1515417039
224,NSR,info,71193,1515417039
225,NSR,info,71193,1515417039
226,NSR,info,71193,1515417039
227,NSR,info,71193,1515417039
228,NSR,info,71193,1515417039
229,NSR,info,71193,1515417039
230,NSR,info,71193,1515417039
231,NSR,info,71193,1515417039
232,NSR,info,71193,1515417039
233,NSR,info,71193,1515417039
234,NSR,info,71193,1515417039
235,NSR,info,71193,1515417039
236,NSR,info,71193,1515417039
237,NSR,info,71193,1515417039
238,NSR,info,71193,1515417039
239,NSR,info,71193,1515417039
240,NSR,info,71193,1515417039
241,NSR,info,71193,1515417039
242,NSR,info,71193,1515417039
243,NSR,info,71193,1515417039
244,NSR,info,71193,1515417039
245,NSR,info,71193,1515417039
246,NSR,info,71193,1515417039
247,NSR,info,71193,1515417039
248,NSR,info,71193,1515417039
249,NSR,info,71193,1515417039
250,NSR,info,71193,1515417039
251,NSR,info,71193,1515417039
252,NSR,info,71193,1515417039
253,NSR,info,71193,1515417039
254,NSR,info,71193,1515417039
255,NSR,info,71193,1515417039
256,NSR,info,71193,1515417039
257,NSR,info,71193,1515417039
258,NSR,info,71193,1515417039
259,NSR,info,71193,1515417039
260,NSR,info,71193,1515417039
261,NSR,info,71193,1515417039
262,NSR,info,71193,1515417039
263,NSR,info,71193,1515417039
264,NSR,info,71193,1515417039
265,NSR,info,71193,1515417039
266,NSR,info,71193,1515417039
267,NSR,info,71193,1515417039
268,NSR,info,71193,1515417039
269,NSR,info,71193,1515417039
270,NSR,info,71193,1515417039
271,NSR,info,71193,1515417039
272,NSR,info,71193,1515417039
273,NSR,info,71193,1515417039
274,NSR,info,71193,1515417039
275,NSR,info,71193,1515417039
276,NSR,info,71193,1515417039
277,NSR,info,71193,1515417039
278,NSR,info,71193,1515417039
279,NSR,info,71193,1515417039
280,NSR,info,71193,1515417039
281,NSR,info,71193,1515417039
282,NSR,info,71193,1515417039
283,NSR,info,71193,1515417039
284,NSR,info,71193,1515417039
285,NSR,info,71193,1515417039
286,NSR,info,71193,1515417039
287,NSR,info,71193,1515417039
288,NSR,info,71193,1515417039
289,NSR,info,71193,1515417039
290,NSR,info,71193,1515417039
291,NSR,info,71193,1515417039
292,NSR,info,71193,1515417039
293,NSR,info,71193,1515417039
294,NSR,info,71193,1515417039
295,NSR,info,71193,1515417039
296,NSR,info,71193,1515417039
297,NSR,info,71193,1515417039
298,NSR,info,71193,1515417039
299,NSR,info,71193,1515417039
300,NSR,info,71193,1515417039
301,NSR,info,71193,1515417039
302,NSR,info,71193,1515417039
303,NSR,info,71193,1515417039
304,NSR,info,71193,1515417039
305,NSR,info,71193,1515417039
306,NSR,info,71193,1515417039
307,NSR,info,71193,1515417039
308,NSR,info,71193,1515417039
309,NSR,info,71193,1515417039
310,NSR,info,71193,1515417039
311,NSR,info,71193,1515417039
312,NSR,info,71193,1515417039
313,NSR,info,71193,1515417039
314,NSR,info,71193,1515417039
315,NSR,info,71193,1515417039
316,NSR,info,71193,1515417039
317,NSR,info,71193,1515417039
318,NSR,info,71193,1515417039
319,NSR,info,71193,1515417039
320,NSR,info,71193,1515417039
321,NSR,info,71193,1515417039
322,NSR,info,71193,1515417039
323,NSR,info,71193,1515417039
324,NSR,info,71193,1515417039
325,NSR,info,71193,1515417039
326,NSR,info,71193,1515417039
327,NSR,info,71193,1515417039
328,NSR,info,71193,1515417039
329,NSR,info,71193,1515417039
330,NSR,info,71193,1515417039
331,NSR,info,71193,1515417039
332,NSR,info,71193,1515417039
333,NSR,info,71193,1515417039
334,NSR,info,71193,1515417039
335,NSR,info,71193,1515417039
336,NSR,info,71193,1515417039
337,NSR,info,71193,1515417039
338,NSR,info,71193,1515417039
339,NSR,info,71193,1515417039
340,NSR,info,71193,1515417039
341,NSR,info,71193,1515417039
342,NSR,info,71193,1515417039
343,NSR,info,71193,1515417039
344,NSR,info,71193,1515417039
345,NSR,info,71193,1515417039
346,NSR,info,71193,1515417039
347,NSR,info,71193,1515417039
348,NSR,info,71193,1515417039
349,NSR,info,71193,1515417039
350,NSR,info,71193,1515417039
351,NSR,info,71193,1515417039
352,NSR,info,71193,1515417039
353,NSR,info,71193,1515417039
354,NSR,info,71193,1515417039
355,NSR,info,71193,1515417039
356,NSR,info,71193,1515417039
357,NSR,info,71193,1515417039
358,NSR,info,71193,1515417039
359,NSR,info,71193,1515417039
360,NSR,info,71193,1515417039
361,NSR,info,71193,1515417039
362,NSR,info,71193,1515417039
363,NSR,info,71193,1515417039
364,NSR,info,71193,1515417039
365,NSR,info,71193,1515417039
366,NSR,info,71193,1515417039
367,NSR,info,71193,1515417039
368,NSR,info,71193,1515417039
369,NSR,info,71193,1515417039
370,NSR,info,71193,1515417039
371,NSR,info,71193,1515417039
372,NSR,info,71193,1515417039
373,NSR,info,71193,1515417039
374,NSR,info,71193,1515417039
375,NSR,info,71193,1515417039
376,NSR,info,71193,1515417039
377,NSR,info,71193,1515417039
378,NSR,info,71193,1515417039
379,NSR,info,71193,1515417039
380,NSR,info,71193,1515417039
381,NSR,info,71193,1515417039
382,NSR,info,71193,1515417039
383,NSR,info,71193,1515417039
384,NSR,info,71193,1515417039
385,NSR,info,71193,1515417039
386,NSR,info,71193,1515417039
387,NSR,info,71193,1515417039
388,NSR,info,71193,1515417039
389,NSR,info,71193,1515417039
390,NSR,info,71193,1515417039
391,NSR,info,71193,1515417039
392,NSR,info,71193,1515417039
393,NSR,info,71193,1515417039
394,NSR,info,71193,1515417039
395,NSR,info,71193,1515417039
396,NSR,info,71193,1515417039
397,NSR,info,71193,1515417039
398,NSR,info,71193,1515417039
399,NSR,info,71193,1515417039
400,NSR,info,71193,1515417039
401,NSR,info,71193,1515417039
402,NSR,info,71193,1515417039
403,NSR,info,71193,1515417039
404,NSR,info,71193,1515417039
405,NSR,info,71193,1515417039
406,NSR,info,71193,1515417039
407,NSR,info,71193,1515417039
408,NSR,info,71193,1515417039
409,NSR,info,71193,1515417039
410,NSR,info,71193,1515417039
411,NSR,info,71193,1515417039
412,NSR,info,71193,1515417039
413,NSR,info,71193,1515417039
414,NSR,info,71193,1515417039
415,NSR,info,71193,1515417039
416,NSR,info,71193,1515417039
417,NSR,info,71193,1515417039
418,NSR,info,71193,1515417039
419,NSR,info,71193,1515417039
420,NSR,info,71193,1515417039
421,NSR,info,71193,1515417039
422,NSR,info,71193,1515417039
423,NSR,info,71193,1515417039
424,NSR,info,71193,1515417039
425,NSR,info,71193,1515417039
426,NSR,info,71193,1515417039
427,NSR,info,71193,1515417039
428,NSR,info,71193,1515417039
429,NSR,info,71193,1515417039
430,NSR,info,71193,1515417039
431,NSR,info,71193,1515417039
432,NSR,info,71193,1515417039
433,NSR,info,71193,1515417039
434,NSR,info,71193,1515417039
435,NSR,info,71193,1515417039
436,NSR,info,71193,1515417039
437,NSR,info,71193,1515417039
438,NSR,info,71193,1515417039
439,NSR,info,71193,1515417039
440,NSR,info,71193,1515417039
441,NSR,info,71193,1515417039
442,NSR,info,71193,1515417039
443,NSR,info,71193,1515417039
444,NSR,info,71193,1515417039
445,NSR,info,71193,1515417039
446,NSR,info,71193,1515417039
447,NSR,info,71193,1515417039
448,NSR,info,71193,1515417039
449,NSR,info,71193,1515417039
450,NSR,info,71193,1515417039
451,NSR,info,71193,1515417039
452,NSR,info,71193,1515417039
453,NSR,info,71193,1515417039
454,NSR,info,71193,1515417039
455,NSR,info,71193,1515417039
456,NSR,info,71193,1515417039
457,NSR,info,71193,1515417039
458,NSR,info,71193,1515417039
459,NSR,info,71193,1515417039
460,NSR,info,71193,1515417039
461,NSR,info,71193,1515417039
462,NSR,info,71193,1515417039
463,NSR,info,71193,1515417039
464,NSR,info,71193,1515417039
465,NSR,info,71193,1515417039
466,NSR,info,71193,1515417039
467,NSR,info,71193,1515417039
468,NSR,info,71193,1515417039
469,NSR,info,71193,1515417039
470,NSR,info,71193,1515417039
471,NSR,info,71193,1515417039
472,NSR,info,71193,1515417039
473,NSR,info,71193,1515417039
474,NSR,info,71193,1515417039
475,NSR,info,71193,1515417039
476,NSR,info,71193,1515417039
477,NSR,info,71193,1515417039
478,NSR,info,71193,1515417039
479,NSR,info,71193,1515417039
480,NSR,info,71193,1515417039
481,NSR,info,71193,1515417039
482,NSR,info,71193,1515417039
483,NSR,info,71193,1515417039
484,NSR,info,71193,1515417039
485,NSR,info,71193,1515417039
486,NSR,info,71193,1515417039
487,NSR,info,71193,1515417039
488,NSR,info,71193,1515417039
489,NSR,info,71193,1515417039
490,NSR,info,71193,1515417039
491,NSR,info,71193,1515417039
492,NSR,info,71193,1515417039
493,NSR,info,71193,1515417039
494,NSR,info,71193,1515417039
495,NSR,info,71193,1515417039
496,NSR,info,71193,1515417039
497,NSR,info,71193,1515417039
498,NSR,info,71193,1515417039
499,NSR,info,71193,1515417039
500,NSR,info,71193,1515417039
501,NSR,info,71193,1515417039
502,NSR,info,71193,1515417039
503,NSR,info,71193,1515417039
504,NSR,info,71193,1515417039
505,NSR,info,71193,1515417039
506,NSR,info,71193,1515417039
507,NSR,info,71193,1515417039
508,NSR,info,71193,1515417039
509,NSR,info,71193,1515417039
510,NSR,info,71193,1515417039
511,NSR,info,71193,1515417039
512,NSR,info,71193,1515417039
513,NSR,info,71193,1515417039
514,NSR,info,71193,1515417039
515,NSR,info,71193,1515417039
516,NSR,info,71193,1515417039
517,NSR,info,71193,1515417039
518,NSR,info,71193,1515417039
519,NSR,info,71193,1515417039
520,NSR,info,71193,1515417039
521,NSR,info,71193,1515417039
522,NSR,info,71193,1515417039
523,NSR,info,71193,1515417039
524,NSR,info,71193,1515417039
525,NSR,info,71193,1515417039
526,NSR,info,71193,1515417039
527,NSR,info,71193,1515417039
528,NSR,info,71193,1515417039
529,NSR,info,71193,1515417039
530,NSR,info,71193,1515417039
531,NSR,info,71193,1515417039
532,NSR,info,71193,1515417039
533,NSR,info,71193,1515417039
534,NSR,info,71193,1515417039
535,NSR,info,71193,1515417039
536,NSR,info,71193,1515417039
537,NSR,info,71193,1515417039
538,NSR,info,71193,1515417039
539,NSR,info,71193,1515417039
540,NSR,info,71193,1515417039
541,NSR,info,71193,1515417039
542,NSR,info,71193,1515417039
543,NSR,info,71193,1515417039
544,NSR,info,71193,1515417039
545,NSR,info,71193,1515417039
546,NSR,info,71193,1515417039
547,NSR,info,71193,1515417039
548,NSR,info,71193,1515417039
549,NSR,info,71193,1515417039
550,NSR,info,71193,1515417039
551,NSR,info,71193,1515417039
552,NSR,info,71193,1515417039
553,NSR,info,71193,1515417039
554,NSR,info,71193,1515417039
555,NSR,info,71193,1515417039
556,NSR,info,71193,1515417039
557,NSR,info,71193,1515417039
558,NSR,info,71193,1515417039
559,NSR,info,71193,1515417039
560,NSR,info,71193,1515417039
561,NSR,info,71193,1515417039
562,NSR,info,71193,1515417039
563,NSR,info,71193,1515417039
564,NSR,info,71193,1515417039
565,NSR,info,71193,1515417039
566,NSR,info,71193,1515417039
567,NSR,info,71193,1515417039
568,NSR,info,71193,1515417039
569,NSR,info,71193,1515417039
570,NSR,info,71193,1515417039
571,NSR,info,71193,1515417039
572,NSR,info,71193,1515417039
573,NSR,info,71193,1515417039
574,NSR,info,71193,1515417039
575,NSR,info,71193,1515417039
576,NSR,info,71193,1515417039
577,NSR,info,71193,1515417039
578,NSR,info,71193,1515417039
579,NSR,info,71193,1515417039
580,NSR,info,71193,1515417039
581,NSR,info,71193,1515417039
582,NSR,info,71193,1515417039
583,NSR,info,71193,1515417039
584,NSR,info,71193,1515417039
585,NSR,info,71193,1515417039
586,NSR,info,71193,1515417039
587,NSR,info,71193,1515417039
588,NSR,info,71193,1515417039
589,NSR,info,71193,1515417039
590,NSR,info,71193,1515417039
591,NSR,info,71193,1515417039
592,NSR,info,71193,1515417039
593,NSR,info,71193,1515417039
594,NSR,info,71193,1515417039
595,NSR,info,71193,1515417039
596,NSR,info,71193,1515417039
597,NSR,info,71193,1515417039
598,NSR,info,71193,1515417039
599,NSR,info,71193,1515417039
600,NSR,info,71193,1515417039
601,NSR,info,71193,1515417039
602,NSR,info,71193,1515417039
603,NSR,info,71193,1515417039
604,NSR,info,71193,1515417039
605,NSR,info,71193,1515417039
606,NSR,info,71193,1515417039
607,NSR,info,71193,1515417039
608,NSR,info,71193,1515417039
609,NSR,info,71193,1515417039
610,NSR,info,71193,1515417039
611,NSR,info,71193,1515417039
612,NSR,info,71193,1515417039
613,NSR,info,71193,1515417039
614,NSR,info,71193,1515417039
615,NSR,info,71193,1515417039
616,NSR,info,71193,1515417039
617,NSR,info,71193,1515417039
618,NSR,info,71193,1515417039
619,NSR,info,71193,1515417039
620,NSR,info,71193,1515417039
621,NSR,info,71193,1515417039
622,NSR,info,71193,1515417039
623,NSR,info,71193,1515417039
624,NSR,info,71193,1515417039
625,NSR,info,71193,1515417039
626,NSR,info,71193,1515417039
627,NSR,info,71193,1515417039
628,NSR,info,71193,1515417039
629,NSR,info,71193,1515417039
630,NSR,info,71193,1515417039
631,NSR,info,71193,1515417039
632,NSR,info,71193,1515417039
633,NSR,info,71193,1515417039
634,NSR,info,71193,1515417039
635,NSR,info,71193,1515417039
636,NSR,info,71193,1515417039
637,NSR,info,71193,1515417039
638,NSR,info,71193,1515417039
639,NSR,info,71193,1515417039
640,NSR,info,71193,1515417039
641,NSR,info,71193,1515417039
642,NSR,info,71193,1515417039
643,NSR,info,71193,1515417039
644,NSR,info,71193,1515417039
645,NSR,info,71193,1515417039
646,NSR,info,71193,1515417039
647,NSR,info,71193,1515417039
648,NSR,info,71193,1515417039
649,NSR,info,71193,1515417039
650,NSR,info,71193,1515417039
651,NSR,info,71193,1515417039
652,NSR,info,71193,1515417039
653,NSR,info,71193,1515417040
654,NSR,info,71193,1515417040
655,NSR,info,71193,1515417040
656,NSR,info,71193,1515417040
657,NSR,info,71193,1515417040
658,NSR,info,71193,1515417040
659,NSR,info,71193,1515417040
660,NSR,info,71193,1515417040
661,NSR,info,71193,1515417040
662,NSR,info,71193,1515417040
663,NSR,info,71193,1515417040
664,NSR,info,71193,1515417040
665,NSR,info,71193,1515417040
666,NSR,info,71193,1515417040
667,NSR,info,71193,1515417040
668,NSR,info,71193,1515417040
669,NSR,info,71193,1515417040
670,NSR,info,71193,1515417040
671,NSR,info,71193,1515417040
672,NSR,info,71193,1515417040
673,NSR,info,71193,1515417040
674,NSR,info,71193,1515417040
675,NSR,info,71193,1515417040
676,NSR,info,71193,1515417040
677,NSR,info,71193,1515417040
678,NSR,info,71193,1515417040
679,NSR,info,71193,1515417040
680,NSR,info,71193,1515417040
681,NSR,info,71193,1515417040
682,NSR,info,71193,1515417040
683,NSR,info,71193,1515417040
684,NSR,info,71193,1515417040
685,NSR,info,71193,1515417040
686,NSR,info,71193,1515417040
687,NSR,info,71193,1515417040
688,NSR,info,71193,1515417040
689,NSR,info,71193,1515417040
690,NSR,info,71193,1515417040
691,NSR,info,71193,1515417040
692,NSR,info,71193,1515417040
693,NSR,info,71193,1515417040
694,NSR,info,71193,1515417040
695,NSR,info,71193,1515417040
696,NSR,info,71193,1515417040
697,NSR,info,71193,1515417040
